HGNC symbol	EntrezGene ID
RNA5SP440	
PLBD2	196463
MIR134	406924
CHRNB4	1143
RNA5SP221	
RN7SL231P	
MIR4309	100422954
MKL1	57591
MIR5701-3	103504741
RNU7-71P	
MIR548W	100422923
SNORD68	
RNU6-1296P	
RN7SKP192	
TTC9C	283237
MIR4514	100616181
RN7SL48P	
IL2RG	3561
GMFBP1	
MIR3181	100422972
ESRP1	54845
PXN-AS1	
RNU1-28P	
RNA5SP255	
RNU6-513P	
MIR1910	100302261
RNU6-493P	
MIR6797	102465478
RNU6-1025P	
RNU4-47P	
WBP1LP4	
MIR328	442901
RNU6-1035P	
MIR6803	102466739
RN7SL221P	
MIR3195	100422838
MIR5739	102466081
PCGF1	84759
RPL23AP45	
RNU6-426P	
RN7SL429P	
RN7SL563P	
RN7SL725P	
MIR6777	102465466
MIR4795	100616161
RNU5A-3P	
SNORD115-3	100033440
RNU6-323P	
MIR5002	100847021
SNORD20	6082
TARSL2	123283
RNU6-612P	
TMEM43	79188
SNORD113-4	767564
SNORA75	654321
ALG1L2	644974
RNU6-926P	
SAPCD2P3	
RNA5SP481	
MIR575	693160
RNU5A-7P	
MIR454	768216
MIR4478	100616312
RNU6-173P	
RNVU1-2	
RNU6-510P	
RNU6-1135P	
KRT19	3880
RNU6-359P	
MIR663AHG	284801
MIR663AHG	724033
RN7SL759P	
RNU6-907P	
RNU4-64P	
RNU6-704P	
MIR3689D2	100616344
MAJIN	283129
PTENP1-AS	101243555
RNA5SP488	
RN7SKP156	
RNU6-519P	
RNU6-837P	
MIR7515	102466235
RNA5SP236	
MIR548AM	100616428
MIR513C	100302114
RNU6-561P	
MIR3682	100500850
MIR892C	102466721
RNU4-54P	
VIM	7431
RNU6-1013P	
	101928600
RNU6-1111P	
RN7SKP151	
RNA5SP443	
RPGRIP1	57096
RNU6-1237P	
SNORD13	692084
RN7SKP271	
CD52	1043
RNA5S12	100169763
GOLIM4	27333
LGALS2	3957
RNU6-522P	
RNU2-52P	
PPP1R3E	90673
MIR99A	407055
RN7SL83P	
TMEM203	94107
ZNF845	91664
TREML3P	
RNU1-59P	
RAP2B	5912
RNU6-117P	
DENND2D	79961
SLCO4A1	28231
MED1	5469
PDE4B	5142
FTH1P21	
RNU6-418P	
MIR6070	102464825
RNA5SP107	
RNU6-530P	
NCR1	9437
MAD2L1BP	9587
RNU6-613P	
RNU6-449P	
RN7SL801P	
CNOT3	4849
RN7SL185P	
RNU6-549P	
MIR585	693170
RPL7L1P2	
RNU6-1068P	
RNU6-288P	
TRBV25-1	
LRRC41	10489
MIR96	407053
RNA5SP327	
TBC1D10A	83874
MIR548AQ	100847078
RNU6-500P	
RNU6-745P	
SNORA8	654320
	388942
RNA5-8SP2	
